"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2013","1,704.76","1,697.73","1,705.52","1,697.73","","0.42%"
"09/16/2013","1,697.60","1,691.70","1,704.95","1,691.70","","0.57%"
"09/13/2013","1,687.99","1,685.04","1,688.73","1,682.22","","0.27%"
"09/12/2013","1,683.42","1,689.21","1,689.97","1,681.96","","-0.34%"
"09/11/2013","1,689.13","1,681.04","1,689.13","1,678.70","","0.31%"
"09/10/2013","1,683.99","1,674.32","1,684.09","1,674.32","","0.73%"
"09/09/2013","1,671.71","1,656.85","1,672.40","1,656.85","","1.00%"
"09/06/2013","1,655.17","1,657.44","1,664.83","1,640.62","","0.01%"
"09/05/2013","1,655.08","1,653.28","1,659.17","1,653.07","","0.12%"
"09/04/2013","1,653.08","1,640.72","1,655.72","1,637.41","","0.81%"
"09/03/2013","1,639.77","1,635.95","1,651.35","1,633.41","","0.42%"
"08/30/2013","1,632.97","1,638.89","1,640.08","1,628.05","","-0.32%"
"08/29/2013","1,638.17","1,633.50","1,646.41","1,630.88","","0.20%"
"08/28/2013","1,634.96","1,630.25","1,641.18","1,627.47","","0.27%"
"08/27/2013","1,630.48","1,652.54","1,652.54","1,629.05","","-1.59%"
"08/26/2013","1,656.78","1,664.29","1,669.51","1,656.02","","-0.40%"
"08/23/2013","1,663.50","1,659.92","1,664.85","1,654.81","","0.39%"
"08/22/2013","1,656.96","1,645.03","1,659.55","1,645.03","","0.86%"
"08/21/2013","1,642.80","1,650.66","1,656.99","1,639.43","","-0.58%"
"08/20/2013","1,652.35","1,646.81","1,658.92","1,646.08","","0.38%"
"08/19/2013","1,646.06","1,655.25","1,659.18","1,645.84","","-0.59%"
"08/16/2013","1,655.83","1,661.22","1,663.60","1,652.61","","-0.33%"
"08/15/2013","1,661.32","1,679.61","1,679.61","1,658.59","","-1.43%"
"08/14/2013","1,685.39","1,693.88","1,695.52","1,684.83","","-0.52%"
"08/13/2013","1,694.16","1,690.65","1,696.81","1,682.62","","0.28%"
"08/12/2013","1,689.47","1,688.37","1,691.49","1,683.35","","-0.12%"
"08/09/2013","1,691.42","1,696.10","1,699.42","1,686.02","","-0.36%"
"08/08/2013","1,697.48","1,693.35","1,700.18","1,688.38","","0.39%"
"08/07/2013","1,690.91","1,695.30","1,695.30","1,684.91","","-0.38%"
"08/06/2013","1,697.37","1,705.79","1,705.79","1,693.29","","-0.57%"
"08/05/2013","1,707.14","1,708.01","1,709.24","1,703.55","","-0.15%"
"08/02/2013","1,709.67","1,706.10","1,709.67","1,700.68","","0.16%"
"08/01/2013","1,706.87","1,689.42","1,707.85","1,689.42","","1.25%"
"07/31/2013","1,685.73","1,687.76","1,698.43","1,684.94","","-0.01%"
"07/30/2013","1,685.96","1,687.92","1,693.19","1,682.42","","0.04%"
"07/29/2013","1,685.33","1,690.32","1,690.92","1,681.86","","-0.37%"
"07/26/2013","1,691.65","1,687.31","1,691.85","1,676.03","","0.08%"
"07/25/2013","1,690.25","1,685.21","1,690.94","1,680.07","","0.26%"
"07/24/2013","1,685.94","1,696.06","1,698.38","1,682.57","","-0.38%"
"07/23/2013","1,692.39","1,696.63","1,698.78","1,691.13","","-0.19%"
"07/22/2013","1,695.53","1,694.41","1,697.61","1,690.67","","0.20%"
"07/19/2013","1,692.09","1,686.15","1,692.09","1,684.08","","0.16%"
"07/18/2013","1,689.37","1,681.05","1,693.12","1,681.05","","0.50%"
"07/17/2013","1,680.91","1,677.91","1,684.75","1,677.91","","0.28%"
"07/16/2013","1,676.26","1,682.70","1,683.73","1,671.84","","-0.37%"
"07/15/2013","1,682.50","1,679.59","1,684.51","1,677.89","","0.14%"
"07/12/2013","1,680.19","1,675.26","1,680.19","1,672.33","","0.31%"
"07/11/2013","1,675.02","1,657.41","1,676.63","1,657.41","","1.36%"
"07/10/2013","1,652.62","1,651.56","1,657.92","1,647.66","","0.02%"
"07/09/2013","1,652.32","1,642.89","1,654.18","1,642.89","","0.72%"
"07/08/2013","1,640.46","1,634.20","1,644.68","1,634.20","","0.53%"
"07/05/2013","1,631.89","1,618.65","1,632.07","1,614.71","","1.02%"
"07/03/2013","1,615.41","1,611.48","1,618.97","1,604.57","","0.08%"
"07/02/2013","1,614.08","1,614.29","1,624.26","1,606.77","","-0.05%"
"07/01/2013","1,614.96","1,609.78","1,626.61","1,609.78","","0.54%"
"06/28/2013","1,606.28","1,611.12","1,615.94","1,601.06","","-0.43%"
"06/27/2013","1,613.20","1,606.44","1,620.07","1,606.44","","0.62%"
"06/26/2013","1,603.26","1,592.27","1,606.83","1,592.27","","0.96%"
"06/25/2013","1,588.03","1,577.52","1,593.79","1,577.09","","0.95%"
"06/24/2013","1,573.09","1,588.77","1,588.77","1,560.33","","-1.21%"
"06/21/2013","1,592.43","1,588.62","1,599.19","1,577.70","","0.27%"
"06/20/2013","1,588.19","1,624.62","1,624.62","1,584.32","","-2.50%"
"06/19/2013","1,628.93","1,651.83","1,652.45","1,628.91","","-1.39%"
"06/18/2013","1,651.81","1,639.77","1,654.19","1,639.77","","0.78%"
"06/17/2013","1,639.04","1,630.64","1,646.50","1,630.34","","0.76%"
"06/14/2013","1,626.73","1,635.52","1,640.80","1,623.96","","-0.59%"
"06/13/2013","1,636.36","1,612.15","1,639.25","1,608.07","","1.48%"
"06/12/2013","1,612.52","1,629.94","1,637.71","1,610.92","","-0.84%"
"06/11/2013","1,626.13","1,638.64","1,640.13","1,622.92","","-1.02%"
"06/10/2013","1,642.81","1,644.67","1,648.69","1,639.26","","-0.03%"
"06/07/2013","1,643.38","1,625.27","1,644.40","1,625.27","","1.28%"
"06/06/2013","1,622.56","1,609.29","1,622.56","1,598.23","","0.85%"
"06/05/2013","1,608.90","1,629.05","1,629.31","1,607.09","","-1.38%"
"06/04/2013","1,631.38","1,640.73","1,646.53","1,623.62","","-0.55%"
"06/03/2013","1,640.42","1,631.71","1,640.42","1,622.72","","0.59%"
"05/31/2013","1,630.74","1,652.13","1,658.99","1,630.74","","-1.43%"
"05/30/2013","1,654.41","1,649.14","1,661.91","1,648.61","","0.37%"
"05/29/2013","1,648.36","1,656.57","1,656.57","1,640.05","","-0.70%"
"05/28/2013","1,660.06","1,652.63","1,674.21","1,652.63","","0.63%"
"05/24/2013","1,649.60","1,646.67","1,649.78","1,636.88","","-0.06%"
"05/23/2013","1,650.51","1,651.62","1,655.50","1,635.53","","-0.29%"
"05/22/2013","1,655.35","1,669.39","1,687.18","1,648.86","","-0.83%"
"05/21/2013","1,669.16","1,666.20","1,674.93","1,662.67","","0.17%"
"05/20/2013","1,666.29","1,665.71","1,672.84","1,663.52","","-0.07%"
"05/17/2013","1,667.47","1,652.45","1,667.47","1,652.45","","1.03%"
"05/16/2013","1,650.47","1,658.07","1,660.51","1,648.60","","-0.50%"
"05/15/2013","1,658.78","1,649.13","1,661.49","1,646.68","","0.51%"
"05/14/2013","1,650.34","1,633.75","1,651.10","1,633.75","","1.01%"
"05/13/2013","1,633.77","1,632.10","1,636.00","1,626.74","","0.00%"
"05/10/2013","1,633.70","1,626.69","1,633.70","1,623.71","","0.43%"
"05/09/2013","1,626.67","1,632.69","1,635.01","1,623.09","","-0.37%"
"05/08/2013","1,632.69","1,625.95","1,632.78","1,622.70","","0.41%"
"05/07/2013","1,625.96","1,617.55","1,626.03","1,616.64","","0.52%"
"05/06/2013","1,617.50","1,614.40","1,619.77","1,614.21","","0.19%"
"05/03/2013","1,614.42","1,597.60","1,618.46","1,597.60","","1.05%"
"05/02/2013","1,597.59","1,582.77","1,598.60","1,582.77","","0.94%"
"05/01/2013","1,582.70","1,597.55","1,597.55","1,581.28","","-0.93%"
"04/30/2013","1,597.57","1,593.58","1,597.57","1,586.50","","0.25%"
"04/29/2013","1,593.61","1,582.34","1,596.65","1,582.34","","0.72%"
"04/26/2013","1,582.24","1,585.16","1,585.78","1,577.56","","-0.18%"
"04/25/2013","1,585.16","1,578.93","1,592.64","1,578.93","","0.40%"
"04/24/2013","1,578.79","1,578.78","1,583.00","1,575.80","","0.00%"
"04/23/2013","1,578.78","1,562.50","1,579.58","1,562.50","","1.04%"
"04/22/2013","1,562.50","1,555.25","1,565.55","1,548.19","","0.47%"
"04/19/2013","1,555.25","1,541.61","1,555.89","1,539.40","","0.88%"
"04/18/2013","1,541.61","1,552.03","1,554.38","1,536.03","","-0.67%"
"04/17/2013","1,552.01","1,574.57","1,574.57","1,543.69","","-1.43%"
"04/16/2013","1,574.57","1,552.36","1,575.35","1,552.36","","1.43%"
"04/15/2013","1,552.36","1,588.84","1,588.84","1,552.28","","-2.30%"
"04/12/2013","1,588.85","1,593.30","1,593.30","1,579.97","","-0.28%"
"04/11/2013","1,593.37","1,587.73","1,597.35","1,586.17","","0.36%"
"04/10/2013","1,587.73","1,568.61","1,589.07","1,568.61","","1.22%"
"04/09/2013","1,568.61","1,563.11","1,573.89","1,560.92","","0.35%"
"04/08/2013","1,563.07","1,553.26","1,563.07","1,548.63","","0.63%"
"04/05/2013","1,553.28","1,559.98","1,559.98","1,539.50","","-0.43%"
"04/04/2013","1,559.98","1,553.69","1,562.60","1,552.52","","0.40%"
"04/03/2013","1,553.69","1,570.25","1,571.47","1,549.80","","-1.05%"
"04/02/2013","1,570.25","1,562.17","1,573.66","1,562.17","","0.52%"
"04/01/2013","1,562.17","1,569.18","1,570.57","1,558.47","","-0.45%"
"03/28/2013","1,569.19","1,562.86","1,570.28","1,561.08","","0.41%"
"03/27/2013","1,562.85","1,563.75","1,564.07","1,551.90","","-0.06%"
"03/26/2013","1,563.77","1,551.69","1,563.95","1,551.69","","0.78%"
"03/25/2013","1,551.69","1,556.89","1,564.91","1,546.22","","-0.33%"
"03/22/2013","1,556.89","1,545.90","1,557.74","1,545.90","","0.72%"
"03/21/2013","1,545.80","1,558.71","1,558.71","1,543.55","","-0.83%"
"03/20/2013","1,558.71","1,548.34","1,561.56","1,548.34","","0.67%"
"03/19/2013","1,548.34","1,552.10","1,557.25","1,538.57","","-0.24%"
"03/18/2013","1,552.10","1,560.70","1,560.70","1,545.13","","-0.55%"
"03/15/2013","1,560.70","1,563.21","1,563.62","1,555.74","","-0.16%"
"03/14/2013","1,563.23","1,554.52","1,563.32","1,554.52","","0.56%"
"03/13/2013","1,554.52","1,552.48","1,556.39","1,548.25","","0.13%"
"03/12/2013","1,552.48","1,556.22","1,556.77","1,548.24","","-0.24%"
"03/11/2013","1,556.22","1,551.15","1,556.27","1,547.36","","0.32%"
"03/08/2013","1,551.18","1,544.26","1,552.48","1,542.94","","0.45%"
"03/07/2013","1,544.26","1,541.46","1,545.78","1,541.46","","0.18%"
"03/06/2013","1,541.46","1,539.79","1,545.25","1,538.11","","0.11%"
"03/05/2013","1,539.79","1,525.20","1,543.47","1,525.20","","0.96%"
"03/04/2013","1,525.20","1,518.20","1,525.27","1,512.29","","0.46%"
"03/01/2013","1,518.20","1,514.68","1,519.99","1,501.48","","0.23%"
"02/28/2013","1,514.68","1,515.99","1,525.34","1,514.46","","-0.09%"
"02/27/2013","1,515.99","1,496.94","1,520.08","1,494.88","","1.27%"
"02/26/2013","1,496.94","1,487.85","1,498.99","1,485.01","","0.61%"
"02/25/2013","1,487.85","1,515.60","1,525.84","1,487.85","","-1.83%"
"02/22/2013","1,515.60","1,502.42","1,515.64","1,502.42","","0.88%"
"02/21/2013","1,502.42","1,511.95","1,511.95","1,497.29","","-0.63%"
"02/20/2013","1,511.95","1,530.94","1,530.94","1,511.41","","-1.24%"
"02/19/2013","1,530.94","1,519.79","1,530.94","1,519.79","","0.73%"
"02/15/2013","1,519.79","1,521.38","1,524.24","1,514.14","","-0.10%"
"02/14/2013","1,521.38","1,520.33","1,523.14","1,514.02","","0.07%"
"02/13/2013","1,520.33","1,519.43","1,524.69","1,515.93","","0.06%"
"02/12/2013","1,519.43","1,517.01","1,522.29","1,515.61","","0.16%"
"02/11/2013","1,517.01","1,517.93","1,518.31","1,513.61","","-0.06%"
